#Background,#Icon,#NumberText,#CardText
background/front-white.png,icon/icon-PAX.png,20 / 44,A homemade, cum-stained Star Trek uniform.
background/front-white.png,icon/icon-PAX.png,21 / 44,Unlocking a new sex position.
background/front-white.png,icon/icon-PAX.png,22 / 44,The boner hatch in the Iron Man suit.
background/front-white.png,icon/icon-PAX.png,23 / 44,Never watching, discussing, or thinking about My Little Pony.
background/front-white.png,icon/icon-PAX.png,24 / 44,Turn-of-the-century sky racists.
background/front-white.png,icon/icon-PAX.png,25 / 44,The decade of legal inquests following a single hour of Grand Theft Auto.
background/front-white.png,icon/icon-PAX.png,26 / 44,A fully-dressed female videogame character.
background/front-white.png,icon/icon-PAX.png,27 / 44,Buying virtual clothes for a Sim family instead of real clothes for a real family.
background/front-white.png,icon/icon-PAX.png,28 / 44,Google Glass + e-cigarette: Ultimate Combo!
background/front-white.png,icon/icon-PAX.png,29 / 44,Tapping Serra Angel.
background/front-white.png,icon/icon-PAX.png,30 / 44,Charles Barkley Shut Up and Jam!
background/front-white.png,icon/icon-PAX.png,31 / 44,Legendary Creature - Robert Khoo.
background/front-white.png,icon/icon-PAX.png,32 / 44,Winning the approval of Cooking Mama that you never got from actual mama.
background/front-white.png,icon/icon-PAX.png,33 / 44,Eating a pizza that's lying in the street to gain health.
background/front-white.png,icon/icon-PAX.png,34 / 44,Getting into a situation with an owlbear.
background/front-white.png,icon/icon-PAX.png,35 / 44,Grand Theft Auto: Fort Lauderdale.
background/front-white.png,icon/icon-PAX.png,36 / 44,A madman who lives in a policebox and kidnaps women.
background/front-white.png,icon/icon-PAX.png,37 / 44,SNES cartridge cleaning fluid.
background/front-black.png,icon/icon-PAX.png,38 / 44,The most controversial game at PAX this year is an 8-bit indie platformer about ______.
background/front-black.png,icon/icon-PAX.png,39 / 44,What made Spock cry?
background/front-black.png,icon/icon-PAX.png,40 / 44,______: Achievement unlocked.
background/front-black.png,icon/icon-PAX.png,41 / 44,There was a riot at the Gearbox panel when they gave the attendees ______.
background/front-black.png,icon/icon-PAX.png,42 / 44,In the new DLC for Mass Effect, Shepard must save the galaxy from ______.
background/front-black.png,icon/icon-PAX.png,43 / 44,What's the latest bullshit that's troubling this quaint fantasy town?
background/front-black.png,icon/icon-PAX.png,44 / 44,No Enforcer wants to manage the panel on ______.
background/front-white.png,icon/icon-PAX.png,1 / 27,Collecting all seven power crystals.
background/front-white.png,icon/icon-PAX.png,2 / 27,Whatever Final Fantasy bullshit happened this year.
background/front-white.png,icon/icon-PAX.png,3 / 27,Endless ninjas.
background/front-white.png,icon/icon-PAX.png,4 / 27,Demons and shit.
background/front-white.png,icon/icon-PAX.png,5 / 27,The imagination of Peter Jackson.
background/front-white.png,icon/icon-PAX.png,6 / 27,Futuristic death sports.
background/front-white.png,icon/icon-PAX.png,7 / 27,KHAAAAAAAAAN!.
background/front-white.png,icon/icon-PAX.png,8 / 27,The Star Wars universe.
background/front-white.png,icon/icon-PAX.png,9 / 27,taking 2d6 emotional damage.
background/front-white.png,icon/icon-PAX.png,10 / 27,A grumpy old Harrison Ford who'd rather be doing anything else.
background/front-white.png,icon/icon-PAX.png,11 / 27,All of the good times and premium gaming entertainment available to you in the Kickstarter room.
background/front-white.png,icon/icon-PAX.png,12 / 27,Attacking from Kamchatka.
background/front-white.png,icon/icon-PAX.png,13 / 27,Separate drinking fountains for dark elves.
background/front-white.png,icon/icon-PAX.png,14 / 27,Lagging out.
background/front-white.png,icon/icon-PAX.png,15 / 27,Getting bitten by a radioactive spider and then battling leukemia for 30 years.
background/front-white.png,icon/icon-PAX.png,16 / 27,Mistakenly hitting on a League of Legends statue.
background/front-white.png,icon/icon-PAX.png,17 / 27,Ser Jorah Mormonts cerulean-blue balls.
background/front-white.png,icon/icon-PAX.png,18 / 27,The old gods.
background/front-white.png,icon/icon-PAX.png,19 / 27,Stuffing my balls into a Sega Genesis and pressing the power button.
background/front-white.png,icon/icon-PAX.png,20 / 27,"The pure, zenlike state that exists between micro and macro."
background/front-white.png,icon/icon-PAX.png,21 / 27,A giant mechanical bird with a tragic backstory.
background/front-white.png,icon/icon-PAX.png,22 / 27,"Xena, Warrior Princess."
background/front-black.png,icon/icon-PAX.png,23 / 27,"Unfortunately Neo, no one can be told what _____ is. You have to see it for yourself."
background/front-black.png,icon/icon-PAX.png,24 / 27,"(Heavy Breathing) Luke, I am _______ ."
background/front-black.png,icon/icon-PAX.png,25 / 27,"You think you have defeated me? Well, let's see how you handle _____."
background/front-black.png,icon/icon-PAX.png,26 / 27,"What the hell?! They added a 6/6 with flying, trample and ____ ."
background/front-black-pick2.png,icon/icon-PAX.png,27 / 27,_____ is way better in ______ mode.
background/front-white.png,icon/icon-PAX.png,1 / 10,What The Rock was really cooking.
background/front-white.png,icon/icon-PAX.png,2 / 10,Hodor.
background/front-white.png,icon/icon-PAX.png,3 / 10,A floor that is literally made of lava.
background/front-white.png,icon/icon-PAX.png,4 / 10,All this liquid in my mouth.
background/front-white.png,icon/icon-PAX.png,5 / 10,Rubbing chocolate pudding all over Bill Cosby's nipples.
background/front-white.png,icon/icon-PAX.png,6 / 10,Stepping on a god damn friggin' LEGO.
background/front-white.png,icon/icon-PAX.png,7 / 10,Giving a dolphin a handjob for science.
background/front-white.png,icon/icon-PAX.png,8 / 10,Exciting content!
background/front-black.png,icon/icon-PAX.png,9 / 10,____ was totally worth the trauma.
background/front-black-pick2.png,icon/icon-PAX.png,10 / 10,"Let me tell you about my new startup. It's basically ____, but for ____."
background/front-white.png,icon/icon-PAX.png,1 / 10,A neck beard that is 10% cheese.
background/front-white.png,icon/icon-PAX.png,2 / 10,Pelvic sorcery.
background/front-white.png,icon/icon-PAX.png,3 / 10,Pooping as quietly as possible.
background/front-white.png,icon/icon-PAX.png,4 / 10,The beautiful sport of Turkish oil wrestling.
background/front-white.png,icon/icon-PAX.png,5 / 10,No survivors.
background/front-white.png,icon/icon-PAX.png,,Go Fuck Yourself.
background/front-black-pick2.png,icon/icon-PAX.png,6 / 10,Buzzfeed presents: 10 pictures of _____ that look like _____.
background/front-black.png,icon/icon-PAX.png,7 / 10,"During my first game of D&D, I accidentally summoned _____."
background/front-black.png,icon/icon-PAX.png,8 / 10,"Bob Ross's little-known first show was called ""The Joy of _____."""
background/front-black.png,icon/icon-PAX.png,9 / 10,"Like _____, State Farm is there."
background/front-black.png,icon/icon-PAX.png,10 / 10,The Discovery Channel presents: _____ week.
